# {"t_start": 1593250725.083373, "env_id": null} 
r,l,t
2015.0,6153,61.657357
1988.0,1152,72.438826
1516.0,593,77.990003
612.0,348,81.247405
612.0,348,84.612704
609.0,348,87.902098
612.0,348,91.161331
612.0,348,94.388763
612.0,348,97.640184
611.0,348,100.8684
611.0,348,104.145518
951.0,559,109.391473
966.0,553,114.501801
988.0,444,118.734194
605.0,353,122.055576
1178.0,702,128.68063
1128.0,653,134.780526
612.0,348,138.026833
611.0,348,141.279001
608.0,352,144.548462
592.0,367,147.946978
967.0,490,152.485103
979.0,498,157.134064
1407.0,707,163.688488
1522.0,964,172.696759
960.0,444,176.867481
1491.0,795,184.399327
1336.0,540,189.460245
1400.0,533,194.449123
569.0,392,198.158614
1390.0,604,203.877647
979.0,396,207.612472
972.0,440,211.735528
605.0,353,215.052364
960.0,406,218.823911
978.0,409,222.615083
978.0,443,226.733507
1176.0,545,231.838804
1802.0,815,239.469741
1379.0,586,244.910165
1380.0,574,250.27088
581.0,362,253.632856
578.0,393,257.317936
1280.0,647,263.400273
988.0,611,269.143636
612.0,348,272.375969
608.0,348,275.580973
977.0,448,279.824572
1403.0,605,285.470337
610.0,348,288.7149
1561.0,779,296.056147
961.0,394,299.719829
959.0,444,303.907512
1187.0,612,309.620504
978.0,422,313.603565
953.0,443,317.72939
1554.0,614,323.697249
1502.0,725,330.830848
542.0,390,334.516829
553.0,385,338.112599
556.0,380,341.662113
548.0,385,345.275913
565.0,392,348.960649
554.0,386,352.534773
555.0,380,356.061008
555.0,380,359.682774
1170.0,601,365.377627
567.0,373,368.880346
1084.0,578,374.248577
1918.0,683,380.69408
1068.0,516,385.510283
569.0,381,389.151839
564.0,422,393.192811
555.0,386,396.852177
938.0,548,401.99269
553.0,386,405.581897
1804.0,805,413.066039
553.0,391,416.701074
557.0,384,420.269763
553.0,380,423.841145
556.0,380,427.437669
555.0,385,431.024165
1105.0,631,436.998255
1497.0,987,446.368884
558.0,374,449.900393
556.0,379,453.448327
559.0,386,457.036855
987.0,603,462.687287
588.0,358,466.029199
588.0,356,469.350034
1756.0,687,475.825531
545.0,403,479.537543
1584.0,810,487.116264
586.0,368,490.588767
982.0,628,496.46445
1765.0,852,504.531606
592.0,392,508.171955
565.0,377,511.679231
576.0,367,515.147244
572.0,369,518.607762
974.0,455,522.910757
1401.0,669,529.263512
610.0,348,532.501258
602.0,359,535.842281
597.0,361,539.20316
1094.0,495,543.841533
598.0,354,547.163582
586.0,366,550.575473
1400.0,648,556.600574
1148.0,543,561.689163
931.0,490,566.25143
1384.0,630,572.161018
565.0,376,575.694091
573.0,387,579.304367
979.0,560,584.504116
1150.0,532,589.477312
994.0,422,593.434293
581.0,362,596.832562
538.0,401,600.60877
573.0,378,604.193134
559.0,380,607.791046
919.0,488,612.346626
1329.0,665,618.679476
553.0,380,622.280525
554.0,380,625.841035
552.0,388,629.482823
957.0,528,634.662611
1551.0,817,642.681113
1382.0,644,648.784069
957.0,460,653.082431
1367.0,657,659.235471
559.0,375,662.763622
1889.0,888,671.152328
550.0,386,674.768556
1357.0,744,681.795147
881.0,1452,695.647399
1402.0,832,703.573989
542.0,403,707.341276
564.0,379,710.944879
940.0,546,716.060991
1881.0,683,722.489935
2168.0,740,729.460856
608.0,347,732.678313
1861.0,695,739.229137
538.0,401,743.012692
1688.0,858,751.075212
