% time spent exploring,episodes,mean 100 episode reward,steps
65,100,477.6,345586
53,200,427.2,469084
41,300,386.3,588240
33,400,356.4,675974
24,500,328.0,762381
16,600,274.4,841213
9,700,252.7,917051
3,800,189.4,973798
1,900,133.7,1025275
1,1000,127.3,1073687
1,1100,128.5,1123538
1,1200,132.3,1176022
1,1300,155.1,1264489
1,1400,166.7,1385968
1,1500,152.3,1509691
1,1600,208.6,1666048
1,1700,149.7,1766305
1,1800,162.2,1872054
1,1900,195.8,1974916
1,2000,188.0,2123659
1,2100,173.7,2218945
1,2200,129.6,2275477
1,2300,194.9,2381762
1,2400,282.8,2562418
1,2500,279.0,2733772
1,2600,124.6,2820489
1,2700,217.2,2977644
1,2800,163.8,3076447
1,2900,208.6,3211510
1,3000,290.9,3357773
1,3100,253.2,3501097
1,3200,213.7,3658655
1,3300,258.6,3815280
1,3400,236.8,3964970
1,3500,259.6,4093697
1,3600,209.9,4228697
1,3700,201.4,4363530
1,3800,205.8,4492581
1,3900,281.0,4672381
1,4000,278.5,4816834
1,4100,158.9,4932327
1,4200,224.2,5054736
1,4300,238.3,5176914
1,4400,304.3,5324970
1,4500,320.1,5468574
1,4600,301.6,5622864
1,4700,332.0,5769047
1,4800,337.4,5931959
1,4900,387.4,6090865
1,5000,324.2,6251121
1,5100,371.6,6427123
1,5200,350.0,6619255
1,5300,342.0,6785321
1,5400,364.3,6974330
1,5500,364.9,7141800
1,5600,378.6,7280568
1,5700,377.8,7446615
1,5800,322.4,7631642
1,5900,326.5,7858889
1,6000,274.3,8020194
1,6100,337.2,8224120
1,6200,311.2,8431844
1,6300,319.6,8644702
1,6400,330.6,8776646
1,6500,321.0,8959241
1,6600,357.7,9116323
1,6700,297.6,9298088
1,6800,327.8,9462717
1,6900,331.1,9625332
1,7000,340.6,9837782
