# {"t_start": 1592481074.4802256, "env_id": null} 
r,l,t
927.0,2267,52.844077
1104.0,1631,90.534424
1134.0,676,105.499844
1229.0,1397,137.563384
1044.0,438,148.433913
1199.0,1232,175.122135
1110.0,554,189.03627
1033.0,504,198.786332
1186.0,611,213.312582
1815.0,1583,250.697755
997.0,556,262.701298
680.0,434,271.937037
987.0,432,283.088787
1085.0,1003,306.417098
736.0,436,315.599114
693.0,487,327.016378
681.0,554,339.188485
1201.0,894,359.914458
808.0,451,371.199523
705.0,416,380.278816
889.0,455,389.682285
1352.0,538,403.436736
1793.0,1405,435.841553
1441.0,589,448.321302
994.0,509,460.124786
715.0,462,471.412496
1076.0,565,483.654097
1514.0,825,503.641578
814.0,390,512.518966
1015.0,480,522.234114
1132.0,507,534.110366
993.0,464,545.43268
903.0,387,554.246558
838.0,436,563.573606
1692.0,2983,633.883569
2140.0,2817,698.922504
1144.0,724,714.278956
794.0,367,722.878348
972.0,422,733.883706
1558.0,1007,755.338879
1155.0,600,769.787016
906.0,379,778.507031
1352.0,697,795.528604
1662.0,960,816.661537
1174.0,744,834.084698
756.0,361,842.72602
1437.0,729,858.307082
904.0,374,867.034344
1558.0,743,884.411036
1155.0,769,902.169634
2056.0,951,925.038586
782.0,385,933.94635
1185.0,487,943.653307
1126.0,573,957.73708
864.0,419,967.153267
1783.0,661,982.066018
1519.0,833,1002.043214
788.0,365,1010.726994
1266.0,655,1025.60662
1653.0,635,1040.330111
1031.0,479,1049.900921
1265.0,544,1063.812761
734.0,379,1072.554315
1009.0,471,1082.137443
1436.0,704,1099.25521
1394.0,659,1114.184134
947.0,422,1123.286435
1316.0,2852,1189.706173
1673.0,565,1202.036678
1436.0,1327,1231.851063
1170.0,503,1243.511098
1962.0,1012,1267.100638
1463.0,675,1282.587108
1337.0,707,1299.718989
747.0,363,1308.358031
925.0,387,1317.20697
1471.0,643,1332.002919
969.0,441,1341.44712
1295.0,689,1358.43098
870.0,369,1367.12151
1530.0,711,1382.346966
1174.0,562,1394.440851
1026.0,493,1406.058842
1236.0,501,1417.881689
1070.0,513,1429.584252
967.0,530,1441.543924
943.0,398,1452.330738
730.0,375,1459.200121
966.0,414,1470.027406
831.0,382,1478.82105
1598.0,681,1494.158034
862.0,364,1502.814059
1744.0,821,1520.869128
1180.0,591,1535.239809
1492.0,563,1547.517733
1218.0,530,1559.405409
721.0,395,1568.341006
961.0,439,1579.564785
1215.0,483,1591.406659
953.0,401,1600.410802
1549.0,586,1612.853713
737.0,387,1621.771928
761.0,366,1630.401627
1747.0,782,1648.316276
2138.0,923,1671.179349
2063.0,686,1686.321565
752.0,374,1695.055089
1612.0,800,1713.003077
1218.0,572,1727.223367
1306.0,482,1737.082377
1288.0,779,1755.026251
1583.0,875,1775.645604
815.0,368,1784.363642
807.0,372,1793.171929
1762.0,725,1810.681051
1342.0,549,1822.879806
900.0,383,1831.772872
918.0,377,1840.569182
2666.0,776,1858.505497
801.0,367,1867.235607
1844.0,730,1884.683338
1608.0,582,1897.411907
1132.0,427,1906.945074
954.0,388,1917.783905
785.0,369,1924.72222
1907.0,544,1938.730845
2372.0,884,1959.608683
1155.0,549,1971.91858
2910.0,756,1989.740992
780.0,387,1998.71782
1287.0,471,2008.53299
1308.0,544,2022.563956
1190.0,550,2034.884951
1561.0,661,2050.104325
2472.0,1239,2079.63508
1161.0,490,2091.338324
1315.0,542,2103.438805
967.0,531,2115.522483
1794.0,990,2139.161003
1625.0,2969,2208.54649
1643.0,731,2226.467758
893.0,469,2236.140107
1163.0,596,2250.716917
1796.0,683,2266.237841
789.0,459,2277.725025
1190.0,524,2289.922225
1392.0,624,2304.850699
1099.0,547,2317.136881
1831.0,854,2337.754458
1476.0,610,2352.56079
971.0,470,2362.430448
1561.0,683,2379.79274
2033.0,1049,2404.012032
1392.0,603,2418.588104
1569.0,626,2431.543043
2008.0,861,2452.338853
1908.0,927,2473.678321
1221.0,535,2487.718541
1171.0,530,2499.858894
1556.0,608,2512.687626
1462.0,588,2527.579442
1829.0,837,2547.972649
1175.0,555,2560.406448
1506.0,751,2578.412988
1958.0,839,2597.110261
1133.0,588,2611.676126
1351.0,579,2624.352392
1365.0,604,2639.033645
1577.0,638,2654.070623
1236.0,619,2668.785667
1364.0,639,2683.751003
1552.0,669,2699.13992
784.0,425,2710.430115
938.0,473,2720.179253
1597.0,703,2737.602548
1561.0,675,2753.071195
1766.0,720,2770.652685
1164.0,601,2783.546594
1788.0,723,2801.076977
1816.0,658,2816.174893
1963.0,745,2834.320697
1785.0,648,2849.265758
1742.0,948,2870.920647
1226.0,535,2884.938355
1735.0,725,2900.677077
976.0,489,2912.404075
1365.0,613,2927.06545
1559.0,800,2945.384445
1206.0,576,2959.687345
1590.0,669,2974.872046
1648.0,2984,3043.916313
1931.0,798,3062.140249
1612.0,3075,3133.868132
1438.0,722,3151.833204
1936.0,859,3172.553277
1558.0,760,3190.580211
1338.0,568,3203.108774
2004.0,1058,3227.375116
1749.0,750,3245.205999
1950.0,756,3263.150692
1099.0,521,3275.184219
1161.0,598,3289.774121
1511.0,610,3304.554349
1836.0,735,3320.47506
1503.0,791,3340.678794
1748.0,978,3362.778024
2436.0,917,3384.090496
3100.0,1073,3410.418953
1750.0,1281,3440.840914
1153.0,546,3453.53189
1677.0,1802,3496.031023
1195.0,519,3508.3348
2023.0,2848,3574.912573
1501.0,725,3592.76701
1778.0,820,3613.123184
1429.0,632,3626.222762
1918.0,739,3644.070698
1415.0,590,3658.709808
1798.0,689,3674.287034
1788.0,871,3695.196888
1743.0,989,3719.07829
1583.0,678,3734.57895
1523.0,3023,3806.763865
1740.0,791,3825.133268
1726.0,681,3840.535115
2003.0,907,3861.791775
1748.0,646,3876.858745
1589.0,657,3892.049955
1607.0,641,3907.210892
1594.0,609,3921.992352
1568.0,614,3936.783557
1580.0,673,3952.000719
1754.0,684,3969.29055
1562.0,665,3984.65552
2509.0,1677,4023.849222
1540.0,658,4039.049783
1607.0,668,4054.343477
1745.0,664,4069.763283
1607.0,689,4087.353551
1584.0,706,4103.041463
1399.0,592,4117.670277
1241.0,581,4130.324681
1920.0,884,4151.305141
1755.0,656,4168.345426
1594.0,626,4181.376911
1915.0,747,4199.191586
1603.0,651,4214.319334
1730.0,697,4231.806184
1968.0,782,4250.15044
1915.0,984,4273.739037
1755.0,726,4289.540533
1769.0,731,4307.397246
1423.0,597,4322.070256
1923.0,852,4340.975131
2389.0,1066,4367.533108
1397.0,604,4380.515612
1628.0,754,4399.012228
1767.0,726,4416.732875
1460.0,591,4431.436032
1797.0,672,4446.673746
1233.0,564,4459.204024
1785.0,738,4477.163815
1864.0,739,4495.006721
1914.0,725,4510.762439
1582.0,631,4525.720259
1797.0,634,4540.648546
1387.0,571,4555.064214
2148.0,813,4573.424648
1926.0,905,4594.412874
1738.0,756,4612.328645
1596.0,603,4627.169702
1938.0,759,4645.17151
1169.0,537,4657.386152
1560.0,633,4672.359766
1691.0,678,4687.690105
1671.0,606,4702.830466
1616.0,629,4717.831239
1824.0,709,4733.541182
1883.0,698,4750.962287
1251.0,569,4763.510549
1673.0,684,4780.817302
1971.0,741,4796.713676
1840.0,628,4811.587475
1771.0,625,4826.463273
1594.0,598,4841.055539
1996.0,646,4855.981235
1793.0,805,4874.307346
1763.0,773,4892.227472
1442.0,626,4907.108417
1425.0,642,4922.046615
1973.0,692,4937.481248
2156.0,835,4957.800975
1639.0,667,4972.950077
1786.0,738,4990.563486
1628.0,617,5005.628323
1533.0,5240,5128.347175
1756.0,675,5143.504818
1593.0,698,5158.89869
1072.0,517,5172.756004
3319.0,1044,5197.03426
941.0,477,5206.854314
1402.0,623,5221.711241
1574.0,641,5236.750197
2059.0,773,5254.945561
1969.0,749,5272.870464
1748.0,740,5290.70945
1421.0,598,5305.388835
1573.0,652,5321.057839
1779.0,1164,5348.224565
1162.0,534,5360.513091
1824.0,772,5378.621985
956.0,472,5390.319698
2451.0,979,5412.0305
1991.0,674,5429.264027
1461.0,755,5445.45877
1758.0,677,5462.575896
1361.0,672,5477.885777
1850.0,703,5495.293085
1773.0,792,5513.595509
2547.0,895,5534.675005
3037.0,1006,5558.727699
1391.0,657,5574.005929
1457.0,651,5589.208404
2457.0,1278,5619.680872
1604.0,704,5635.606805
1569.0,748,5653.425321
1780.0,651,5668.668869
1810.0,731,5686.604674
1155.0,608,5701.453189
2299.0,780,5719.699218
2235.0,901,5740.944349
1384.0,627,5755.99831
1925.0,782,5774.250177
2051.0,820,5793.661231
2231.0,844,5814.837271
1824.0,671,5830.639897
1607.0,746,5848.602551
1767.0,646,5863.77203
1910.0,766,5881.895419
1646.0,646,5897.099105
1552.0,699,5912.906155
1452.0,717,5930.722617
1995.0,800,5949.621119
1143.0,581,5964.322527
1143.0,740,5982.227999
1599.0,614,5995.335409
1788.0,888,6016.554802
2224.0,1006,6040.639979
1589.0,697,6058.288442
1631.0,787,6076.746764
1830.0,864,6097.703981
1780.0,774,6116.133446
1569.0,627,6129.347074
2604.0,961,6153.093263
1760.0,691,6168.832062
1420.0,619,6183.843253
2716.0,959,6207.647335
3810.0,1259,6238.026497
1760.0,662,6253.82074
2226.0,822,6272.628757
1831.0,692,6290.223709
1728.0,675,6305.706796
1809.0,2961,6375.818731
1842.0,699,6391.631291
1971.0,710,6409.568863
1415.0,571,6422.415772
1625.0,665,6439.705883
1965.0,717,6455.617556
987.0,491,6467.648657
1411.0,603,6482.659837
1423.0,592,6495.558566
1843.0,693,6513.175338
1357.0,587,6526.011477
3124.0,982,6550.17307
2375.0,955,6574.391519
2381.0,964,6596.313196
2857.0,939,6617.876029
990.0,540,6632.194462
1793.0,777,6650.686647
1406.0,626,6665.72056
1451.0,655,6680.962115
1643.0,725,6696.955961
1311.0,2908,6767.016451
1235.0,2682,6830.916265
1756.0,2893,6901.034531
2257.0,1611,6938.228252
1726.0,1265,6968.678057
1586.0,1236,6998.805042
2278.0,1404,7032.274074
1978.0,1352,7063.434643
1724.0,896,7084.680611
1622.0,3029,7157.539215
2427.0,958,7179.657697
1977.0,952,7203.526637
1759.0,748,7221.587202
1732.0,835,7240.398842
2070.0,756,7258.570652
1775.0,827,7279.231461
1536.0,626,7292.554945
816.0,419,7303.9878
1162.0,534,7316.431703
1312.0,591,7331.217932
1798.0,748,7347.480233
1675.0,583,7362.235072
2426.0,874,7383.474407
1500.0,654,7398.834836
1508.0,665,7414.26944
1929.0,848,7435.149184
1924.0,687,7450.961221
2482.0,882,7472.036906
1604.0,803,7490.824779
2550.0,1025,7515.228112
1515.0,651,7530.602352
1445.0,664,7547.812747
1981.0,792,7566.267158
2093.0,996,7588.609022
1915.0,726,7606.554859
1737.0,755,7624.893412
1554.0,676,7640.390813
2102.0,833,7661.128903
1585.0,673,7676.716508
1564.0,619,7691.892912
1920.0,722,7709.805168
1829.0,709,7725.697309
1744.0,723,7743.595081
2387.0,983,7765.994468
1818.0,693,7783.763647
2415.0,911,7805.542498
2245.0,936,7826.876613
1608.0,737,7844.720841
2147.0,851,7865.454524
1975.0,709,7881.108276
1781.0,728,7898.880944
1402.0,592,7913.596555
1705.0,693,7929.355752
2260.0,875,7950.391811
2369.0,790,7968.778986
1486.0,559,7981.270449
1404.0,556,7995.711093
1451.0,619,8010.694243
1640.0,601,8023.617082
1764.0,667,8039.042648
2062.0,794,8059.655564
1629.0,697,8075.232212
1967.0,936,8096.891989
1984.0,719,8114.832755
2252.0,838,8135.37022
1621.0,855,8154.263537
2083.0,912,8175.5876
1837.0,698,8192.982099
1389.0,564,8205.504335
1842.0,685,8222.940775
1643.0,720,8238.628182
1676.0,677,8254.110088
2043.0,808,8274.41055
1560.0,830,8293.171469
2795.0,920,8314.510368
1624.0,609,8329.544647
1722.0,641,8344.753624
1682.0,652,8359.935453
2129.0,734,8377.956641
1395.0,783,8396.361611
1422.0,656,8411.856442
1618.0,702,8429.953336
1986.0,734,8447.865316
1597.0,663,8463.300736
2435.0,917,8484.890887
1763.0,875,8506.083332
1610.0,679,8521.654381
1351.0,585,8536.468813
1632.0,668,8552.037834
2822.0,940,8574.084354
1344.0,596,8588.903399
2055.0,706,8604.84625
2084.0,798,8625.298059
3018.0,977,8647.289696
1833.0,619,8662.394405
2395.0,946,8684.488401
3105.0,1110,8711.689693
1735.0,696,8729.547666
2318.0,805,8748.581148
2005.0,842,8767.528117
1916.0,775,8785.873345
2754.0,967,8809.675269
2191.0,805,8828.282741
1994.0,655,8843.630729
1619.0,680,8861.054548
2120.0,744,8879.138389
2111.0,819,8897.985156
1787.0,672,8913.42438
1723.0,634,8928.553405
1634.0,628,8943.57571
1782.0,741,8961.566126
1978.0,766,8980.008544
2046.0,682,8995.494785
2415.0,960,9019.227102
2262.0,911,9040.635605
1993.0,707,9056.714214
1810.0,698,9074.332718
1941.0,675,9089.745953
1377.0,613,9104.711203
