# {"t_start": 1592418739.8059123, "env_id": null} 
r,l,t
679.0,1533,36.528158
847.0,648,53.556238
1003.0,624,66.875382
1147.0,562,81.382181
1761.0,687,97.041142
839.0,474,108.900122
1112.0,547,121.551434
806.0,518,133.818862
1030.0,499,145.908331
1146.0,552,158.436924
1435.0,550,172.828739
983.0,487,184.68744
688.0,445,194.273888
1133.0,512,206.382308
1562.0,591,221.282487
1467.0,580,234.118707
1881.0,627,249.623416
1269.0,499,261.612275
1001.0,450,271.210633
684.0,404,282.381023
930.0,452,292.140555
1416.0,526,304.486904
2421.0,705,322.270974
1387.0,513,334.506395
686.0,412,344.034317
838.0,427,353.59513
1624.0,514,365.785519
1922.0,644,381.162692
970.0,430,392.652461
842.0,411,402.050425
1456.0,540,414.452181
1196.0,460,426.310178
1268.0,563,439.035584
1012.0,479,451.00457
1568.0,579,463.920195
688.0,430,475.402825
1143.0,460,485.14171
1133.0,454,496.732106
1283.0,536,509.14133
1113.0,518,521.357789
985.0,569,535.936175
833.0,435,545.40011
1426.0,506,558.015821
1388.0,509,570.24965
681.0,398,579.454051
685.0,398,588.747036
685.0,400,598.082528
1415.0,507,610.237957
845.0,413,619.660482
978.0,428,631.245743
2762.0,735,649.3001
2716.0,726,665.589284
1993.0,637,680.819379
1474.0,473,692.617482
2077.0,634,707.865728
838.0,449,717.628743
2097.0,682,735.412993
978.0,451,745.195819
1006.0,464,757.029779
1421.0,522,769.208735
686.0,415,778.560386
2160.0,674,794.246685
696.0,407,805.546587
956.0,456,815.255676
970.0,429,824.733614
1412.0,497,836.769826
993.0,483,848.598555
1708.0,596,863.609696
1878.0,592,876.653764
1565.0,545,890.876217
990.0,524,903.029752
686.0,414,912.302305
1941.0,656,927.489773
1507.0,614,942.46247
803.0,447,952.191082
1282.0,529,966.319366
1779.0,664,981.588475
1129.0,553,993.9933
1121.0,519,1006.047148
833.0,484,1017.783976
973.0,544,1030.275948
711.0,470,1041.946344
1401.0,741,1059.981099
965.0,729,1075.996897
975.0,817,1096.641207
994.0,603,1109.742679
960.0,487,1121.699176
808.0,472,1133.545167
811.0,489,1145.530805
715.0,438,1155.18312
698.0,446,1166.793573
1230.0,609,1180.324418
870.0,463,1192.200216
753.0,434,1201.914803
721.0,433,1213.414214
1595.0,635,1228.717913
869.0,456,1238.446672
808.0,475,1250.350087
916.0,507,1262.715613
821.0,476,1274.802656
729.0,434,1284.429137
822.0,471,1296.233073
720.0,434,1305.770403
728.0,434,1317.285586
1088.0,525,1329.64681
1191.0,551,1342.409653
857.0,435,1352.01491
1289.0,591,1366.939453
1727.0,663,1382.537913
1432.0,582,1397.372565
1744.0,607,1410.43274
1636.0,697,1428.13873
700.0,425,1437.836427
998.0,505,1449.991645
817.0,482,1461.88312
1859.0,621,1476.978002
994.0,483,1489.233464
846.0,430,1498.780607
1835.0,542,1511.330408
1400.0,519,1523.704612
1774.0,589,1538.374082
821.0,461,1548.155252
727.0,434,1559.701021
807.0,487,1571.589079
860.0,457,1581.389619
803.0,475,1593.394544
823.0,464,1603.333727
822.0,483,1615.222764
720.0,433,1626.689584
