# {"t_start": 1593420569.4398124, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,3.591985
-200.0,200,3.96058
-200.0,200,4.324459
-200.0,200,4.692356
-200.0,200,5.061785
-200.0,200,5.431002
-200.0,200,5.790411
-200.0,200,6.160345
-200.0,200,6.527081
-200.0,200,6.895854
-200.0,200,7.260004
-200.0,200,7.631754
-200.0,200,8.003747
-200.0,200,8.369903
-200.0,200,8.735724
-200.0,200,9.109972
-200.0,200,9.463314
-200.0,200,9.833116
-200.0,200,10.20035
-200.0,200,10.565472
-200.0,200,10.935562
-200.0,200,11.306805
-200.0,200,11.67812
-200.0,200,12.051232
-200.0,200,12.427535
-200.0,200,12.796105
-200.0,200,13.157515
-200.0,200,13.521463
-200.0,200,13.88491
-200.0,200,14.250659
-200.0,200,14.668225
-200.0,200,15.054003
-200.0,200,15.438438
-200.0,200,15.807548
-200.0,200,16.1717
-200.0,200,16.537791
-200.0,200,16.908839
-200.0,200,17.282501
-200.0,200,17.657934
-200.0,200,18.02705
-200.0,200,18.400508
-200.0,200,18.769939
-200.0,200,19.144385
-200.0,200,19.520821
-200.0,200,19.894241
-200.0,200,20.265946
-200.0,200,20.639988
-200.0,200,21.000507
-200.0,200,21.357827
-200.0,200,21.729375
-200.0,200,22.098653
-200.0,200,22.466211
-200.0,200,22.83791
-200.0,200,23.215719
-200.0,200,23.584195
-200.0,200,23.963449
-200.0,200,24.335443
-200.0,200,24.707074
-200.0,200,25.080836
-200.0,200,25.450629
-200.0,200,25.818534
-200.0,200,26.201519
-200.0,200,26.571522
-200.0,200,26.947123
-200.0,200,27.312127
-200.0,200,27.708138
-200.0,200,28.111651
-200.0,200,28.517806
-200.0,200,28.917663
-200.0,200,29.321876
-200.0,200,29.728341
-200.0,200,30.125763
-200.0,200,30.534586
-200.0,200,30.950404
-200.0,200,31.356363
-200.0,200,31.754935
-200.0,200,32.150015
-200.0,200,32.546033
-200.0,200,32.929044
-200.0,200,33.294016
-200.0,200,33.671174
-200.0,200,34.038167
-200.0,200,34.40893
-200.0,200,34.775616
-200.0,200,35.134324
-200.0,200,35.505296
-200.0,200,35.851367
-200.0,200,36.20759
-200.0,200,36.579774
-200.0,200,36.944624
-200.0,200,37.310528
-200.0,200,37.678788
-200.0,200,38.049272
-200.0,200,38.418059
-200.0,200,38.790856
-200.0,200,39.159688
-200.0,200,39.52921
-200.0,200,39.893125
-200.0,200,40.252205
-200.0,200,40.614503
-200.0,200,40.979698
-200.0,200,41.344564
-200.0,200,41.708072
-200.0,200,42.07214
-200.0,200,42.444719
-200.0,200,42.816937
-200.0,200,43.178731
-200.0,200,43.549291
-200.0,200,43.920788
-200.0,200,44.281636
-200.0,200,44.650504
-200.0,200,45.009712
-200.0,200,45.379923
-200.0,200,45.749091
-200.0,200,46.112562
-200.0,200,46.481117
-200.0,200,46.849328
-200.0,200,47.219267
-200.0,200,47.59152
-200.0,200,47.958373
-200.0,200,48.339428
-200.0,200,48.716641
-200.0,200,49.101242
-200.0,200,49.480146
-200.0,200,49.859554
-200.0,200,50.237614
-200.0,200,50.614841
-200.0,200,50.991188
-200.0,200,51.373806
-200.0,200,51.750498
-200.0,200,52.123379
-200.0,200,52.505897
-200.0,200,52.882764
-200.0,200,53.257699
-200.0,200,53.637098
-200.0,200,54.009892
-200.0,200,54.381596
-200.0,200,54.753369
-200.0,200,55.131504
-200.0,200,55.505589
-200.0,200,55.88711
-200.0,200,56.262518
-200.0,200,56.638439
-200.0,200,57.01461
-200.0,200,57.39593
-200.0,200,57.778777
-200.0,200,58.160351
-200.0,200,58.528363
-200.0,200,58.899768
-200.0,200,59.271549
-200.0,200,59.643293
-200.0,200,60.010362
-200.0,200,60.377936
-200.0,200,60.753365
-200.0,200,61.125636
-200.0,200,61.496423
-200.0,200,61.867723
-200.0,200,62.241396
-200.0,200,62.610554
-200.0,200,62.977757
-200.0,200,63.346637
-200.0,200,63.719663
-200.0,200,64.086542
-200.0,200,64.452147
-200.0,200,64.808411
-200.0,200,65.182112
-200.0,200,65.543888
-200.0,200,65.914272
-200.0,200,66.284002
-200.0,200,66.659552
-200.0,200,67.029665
-200.0,200,67.396945
-200.0,200,67.763314
-200.0,200,68.132783
-200.0,200,68.492062
-200.0,200,68.859886
-200.0,200,69.229151
-200.0,200,69.606137
-200.0,200,69.976572
-200.0,200,70.335917
-200.0,200,70.712272
-200.0,200,71.08466
-200.0,200,71.456027
-200.0,200,71.813774
-200.0,200,72.17479
-200.0,200,72.548405
-200.0,200,72.912284
-200.0,200,73.281241
-200.0,200,73.654031
-200.0,200,74.022826
-200.0,200,74.393571
-200.0,200,74.764651
-200.0,200,75.132569
-200.0,200,75.495978
-200.0,200,75.865435
-200.0,200,76.229316
-200.0,200,76.599046
-200.0,200,76.956674
-200.0,200,77.317351
-200.0,200,77.685433
-200.0,200,78.057783
-200.0,200,78.423743
-200.0,200,78.795111
-200.0,200,79.168512
-200.0,200,79.529936
-200.0,200,79.893605
-200.0,200,80.259359
-200.0,200,80.636667
-200.0,200,81.007922
-200.0,200,81.37763
-200.0,200,81.747413
-200.0,200,82.111535
-200.0,200,82.47277
-200.0,200,82.843919
-200.0,200,83.207004
-200.0,200,83.56761
-200.0,200,83.933318
-200.0,200,84.306619
-200.0,200,84.675864
-200.0,200,85.044893
-200.0,200,85.411816
-200.0,200,85.788385
-200.0,200,86.161435
-200.0,200,86.520653
-200.0,200,86.884683
-200.0,200,87.25451
-200.0,200,87.619664
-200.0,200,87.985993
-200.0,200,88.353915
-200.0,200,88.724722
-200.0,200,89.084463
-200.0,200,89.44595
-200.0,200,89.816947
-200.0,200,90.189331
-200.0,200,90.560439
-200.0,200,90.934345
-200.0,200,91.30737
-200.0,200,91.674177
-200.0,200,92.050099
-200.0,200,92.414099
-200.0,200,92.7795
-200.0,200,93.147505
-200.0,200,93.508601
-200.0,200,93.875129
-200.0,200,94.236498
-200.0,200,94.606203
-200.0,200,94.971504
-200.0,200,95.336272
-200.0,200,95.710658
-200.0,200,96.076865
-200.0,200,96.445621
-200.0,200,96.816183
-200.0,200,97.182817
-200.0,200,97.555528
-200.0,200,97.926851
-200.0,200,98.297401
-200.0,200,98.664095
-200.0,200,99.032381
-200.0,200,99.397646
-200.0,200,99.774456
-200.0,200,100.145019
-200.0,200,100.519377
-200.0,200,100.953267
-200.0,200,101.360373
-200.0,200,101.773041
-200.0,200,102.201797
-200.0,200,102.582976
-200.0,200,103.117611
-200.0,200,103.594514
-200.0,200,104.029513
-200.0,200,104.490044
-200.0,200,104.936618
-200.0,200,105.46353
-200.0,200,105.953737
-200.0,200,106.439556
-200.0,200,106.925422
-200.0,200,107.399957
-200.0,200,107.884207
-200.0,200,108.37147
-200.0,200,108.855114
-200.0,200,109.336239
-200.0,200,109.825528
-200.0,200,110.307775
-200.0,200,110.798459
-200.0,200,111.287323
