eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
nan,nan,6.580352783203125e-05,6,1,1.098611831665039,5,10.67702579498291
200.0,-200.0,0.0005123615264892578,303,100,1.0986101627349854,500,10.651504516601562
200.0,-200.0,0.00021058320999145508,390,200,1.0986032485961914,1000,9.360944747924805
200.0,-200.0,0.0043375492095947266,431,300,1.0986026525497437,1500,10.511609077453613
200.0,-200.0,0.0003666877746582031,454,400,1.0986056327819824,2000,6.417540073394775
200.0,-200.0,0.026615262031555176,469,500,1.0985076427459717,2500,10.046308517456055
200.0,-200.0,0.03666120767593384,480,600,1.0985430479049683,3000,2.0742883682250977
200.0,-200.0,0.026301145553588867,489,700,1.096635103225708,3500,9.191996574401855
200.0,-200.0,-0.03378736972808838,495,800,1.0979175567626953,4000,55.1947135925293
200.0,-200.0,0.0002587437629699707,500,900,1.0845911502838135,4500,7.65050745010376
200.0,-200.0,0.010422050952911377,503,1000,0.8497041463851929,5000,383.3789367675781
200.0,-200.0,-0.08638179302215576,507,1100,1.0069245100021362,5500,5.869388103485107
200.0,-200.0,-0.05512082576751709,510,1200,0.9953605532646179,6000,934.0546875
200.0,-200.0,0.027321279048919678,510,1300,1.0305328369140625,6500,4.007303237915039
200.0,-200.0,-0.03608238697052002,511,1400,0.8511255383491516,7000,1551.6640625
200.0,-200.0,-0.012000560760498047,513,1500,1.0111366510391235,7500,3.0430123805999756
200.0,-200.0,0.004242539405822754,515,1600,1.0587811470031738,8000,2332.986328125
200.0,-200.0,-0.003342270851135254,516,1700,1.043304443359375,8500,2.117208242416382
200.0,-200.0,-0.0014240741729736328,517,1800,0.9698114395141602,9000,3236.137451171875
200.0,-200.0,0.002400994300842285,518,1900,1.0849006175994873,9500,1.3777464628219604
200.0,-200.0,0.00021195411682128906,519,2000,1.073053002357483,10000,4287.810546875
200.0,-200.0,0.009317874908447266,520,2100,0.9653401374816895,10500,0.785843014717102
200.0,-200.0,0.0009819865226745605,521,2200,0.9194315671920776,11000,5489.9384765625
200.0,-200.0,0.004578828811645508,522,2300,1.0842831134796143,11500,0.37034717202186584
200.0,-200.0,-0.013554215431213379,522,2400,0.978568434715271,12000,6821.24365234375
200.0,-200.0,-0.01761150360107422,523,2500,0.980827808380127,12500,0.11162000894546509
200.0,-200.0,-0.00016617774963378906,523,2600,1.0579841136932373,13000,8330.3193359375
200.0,-200.0,-0.02927696704864502,522,2700,0.9696393013000488,13500,0.002746899612247944
200.0,-200.0,0.0010452866554260254,521,2800,1.0848010778427124,14000,9398.4111328125
200.0,-200.0,0.9067925214767456,521,2900,1.097792387008667,14500,8.361996037820063e-07
200.0,-200.0,0.0015566349029541016,519,3000,1.0977113246917725,15000,9419.7109375
200.0,-200.0,-1.6148369312286377,519,3100,1.096553087234497,15500,4.364014785096515e-06
200.0,-200.0,-0.0001933574676513672,519,3200,1.0969891548156738,16000,9423.7578125
200.0,-200.0,-3.551846981048584,520,3300,1.092240333557129,16500,1.916339351737406e-05
200.0,-200.0,0.0011228322982788086,520,3400,1.097257137298584,17000,9411.986328125
200.0,-200.0,-4.5485148429870605,522,3500,1.094104290008545,17500,3.002351078862375e-08
200.0,-200.0,-0.0009607076644897461,522,3600,1.0958733558654785,18000,9423.1123046875
200.0,-200.0,-1.961940050125122,523,3700,1.0900408029556274,18500,2.2443941816163715e-06
200.0,-200.0,-0.0006663799285888672,523,3800,1.098442554473877,19000,9419.2939453125
200.0,-200.0,-0.5537585020065308,523,3900,1.0965619087219238,19500,9.056995509126864e-07
200.0,-200.0,-0.0007992982864379883,524,4000,1.0974104404449463,20000,9431.7431640625
200.0,-200.0,-706.6325073242188,525,4100,1.093987226486206,20500,6.2268459259939846e-06
200.0,-200.0,0.00028461217880249023,525,4200,1.0982187986373901,21000,9421.1767578125
200.0,-200.0,0.7995464950799942,526,4300,1.0916495323181152,21500,4.912726669914491e-09
200.0,-200.0,-0.00015413761138916016,526,4400,1.098083257675171,22000,9422.2314453125
200.0,-200.0,0.9878370622172952,526,4500,1.0920251607894897,22500,6.5425411754915785e-09
200.0,-200.0,-0.001203298568725586,527,4600,1.0985698699951172,23000,9426.419921875
200.0,-200.0,0.5918266773223877,527,4700,1.096978783607483,23500,4.395959081193723e-07
200.0,-200.0,0.0012987852096557617,527,4800,1.0980935096740723,24000,9414.15625
200.0,-200.0,-168.7278594970703,527,4900,1.0984282493591309,24500,4.074873686477076e-06
200.0,-200.0,0.0015296339988708496,527,5000,1.0983673334121704,25000,9414.845703125
200.0,-200.0,-20.692583084106445,527,5100,1.0974109172821045,25500,1.3754679457633756e-05
200.0,-200.0,-0.006114482879638672,527,5200,1.0958181619644165,26000,9413.724609375
