# {"t_start": 1593420672.617989, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-49.954322,999,3.98695
-51.178885,999,6.19098
-49.631763,999,8.417578
-50.193493,999,10.65899
-50.723965,999,12.921165
-47.745762,999,15.169689
-46.091404,999,17.421283
-38.970036,999,19.67529
-35.981536,999,21.921033
-32.492168,999,24.158647
-30.870745,999,26.399636
-25.516244,999,28.668515
-24.3576,999,30.942626
-19.442321,999,33.23501
-17.515525,999,35.625217
-16.612773,999,38.063589
-15.483917,999,40.533628
-13.510888,999,42.987794
-12.114021,999,45.443076
-11.604991,999,47.730877
-10.254155,999,50.011291
-9.524918,999,52.271141
-9.46255,999,54.558605
-8.769824,999,56.849244
-7.981875,999,59.109282
-8.068326,999,61.324393
-7.508857,999,63.549217
-7.107479,999,65.767863
-6.651282,999,67.952275
-6.911,999,70.153154
-6.773117,999,72.384329
-6.169479,999,74.601863
-6.189735,999,76.816512
-5.938531,999,79.032823
-6.29761,999,81.236864
-5.521152,999,83.460317
-5.603628,999,85.673261
-5.793109,999,87.908731
-5.709216,999,90.141455
-5.351179,999,92.364726
-5.606433,999,94.581542
-5.731176,999,96.810383
-4.627244,999,99.03978
-5.616354,999,101.267225
-5.50589,999,103.496991
-5.449829,999,105.712379
-5.221877,999,107.962341
-5.439898,999,110.211221
-5.163975,999,112.445866
-5.453198,999,114.666842
-4.937357,999,116.881646
-5.111534,999,119.089534
-5.409829,999,121.296256
-5.444553,999,123.532303
-5.62381,999,125.750673
-5.520362,999,127.971855
-5.315792,999,130.203537
-5.171236,999,132.407651
-5.695967,999,134.6297
-5.293141,999,136.835316
-5.133158,999,139.027264
-5.390657,999,141.242257
-5.621072,999,143.469932
-5.189122,999,145.688095
-5.359949,999,147.923467
-4.714098,999,150.118847
-5.390964,999,152.33714
-5.13822,999,154.53015
-4.877604,999,156.751464
-5.427889,999,158.966621
-5.416729,999,161.168653
-5.094,999,163.387855
-5.327505,999,165.59924
-5.266575,999,167.886974
-4.844183,999,170.297376
-5.037043,999,172.506204
-5.342029,999,174.723594
-4.911948,999,176.949313
-5.436418,999,179.20139
-4.959306,999,181.441261
-4.870339,999,183.695278
-5.384765,999,185.931552
-5.235348,999,188.184896
-4.928751,999,190.428211
-5.068219,999,192.704962
-5.1719,999,194.957322
-5.56788,999,197.198071
-5.396722,999,199.423689
-5.817193,999,201.660052
-5.161475,999,203.900273
-5.032371,999,206.136346
-5.097904,999,208.362282
-5.305639,999,210.580643
-5.221124,999,212.799428
-5.618152,999,215.031045
-5.228068,999,217.268308
-5.185628,999,219.517441
-5.297562,999,221.738309
-4.690912,999,223.976041
-5.316058,999,226.193886
-4.725866,999,228.462813
-4.930599,999,230.759681
-5.317075,999,233.11134
-5.292884,999,235.410567
-5.063576,999,237.643106
-5.196273,999,239.856856
-5.51616,999,242.104357
-5.086991,999,244.346922
-5.129857,999,246.560059
-4.952592,999,248.781417
-4.942774,999,251.016368
-4.876164,999,253.236441
-4.982574,999,255.481772
-5.259969,999,257.722079
-5.407961,999,259.998729
-5.263895,999,262.263748
-5.231493,999,264.507135
-5.09662,999,266.734581
-5.320847,999,269.01223
-5.053588,999,271.269861
-5.126562,999,273.551112
-5.59635,999,275.837254
-5.039882,999,278.107704
-4.90766,999,280.388422
-5.368439,999,282.639934
-5.052747,999,284.908605
-5.339519,999,287.194611
-4.903944,999,289.468254
-5.389685,999,291.735123
-4.587057,999,293.994721
-4.999121,999,296.272957
-5.375859,999,298.534214
-5.263013,999,300.783771
-5.079334,999,303.013265
-4.865428,999,305.25919
-5.395305,999,307.497449
-4.992645,999,309.740218
-5.143535,999,311.993519
-5.205445,999,314.262202
-4.931553,999,316.512696
-5.212722,999,318.765587
-5.516009,999,321.007079
-5.823873,999,323.265067
-4.235501,999,325.523422
-5.353269,999,327.782594
-5.168556,999,330.034581
-5.682592,999,332.285671
-5.383769,999,334.518766
-5.553847,999,336.769195
-5.26778,999,339.026276
