#{"t_start": 1592394307.949209, "env_id": "MountainCarContinuous-v0"}
r,l,t
-9.128373,999,4.222945
77.279325,994,6.37217
-35.651255,999,8.494612
-67.016565,999,10.653376
-67.77082,999,12.836531
-31.254683,999,15.005943
-37.359243,999,17.157344
-55.440339,999,19.403058
-37.99411,999,21.93881
-19.81311,999,24.13881
-52.396913,999,26.363483
-51.578418,999,28.57069
-28.466019,999,31.024042
-37.380135,999,33.515109
-18.887634,999,35.712346
-59.99181,999,37.893415
-24.709123,999,40.108506
-26.908424,999,42.313028
64.259603,999,44.545614
-26.691086,999,46.770756
86.840539,777,48.567545
-19.127991,999,50.77367
82.620214,739,52.312954
-14.515352,999,54.48382
-21.6283,999,56.670429
-76.749622,999,58.841311
-59.318005,999,61.003109
-25.438574,999,63.164503
-48.336109,999,65.322775
45.866983,910,67.261892
-29.820603,999,69.752558
-36.861403,999,71.938946
82.299209,644,73.43928
-64.609487,999,75.615393
-27.612889,999,77.77672
-19.572508,999,80.13335
-22.122564,999,82.76674
62.857769,945,84.82289
-32.527606,999,87.44193
-59.544822,999,90.043432
-36.283773,999,92.671443
-23.704725,999,95.317524
-31.13859,999,97.817411
53.494466,973,100.002806
-32.296344,999,102.641039
88.681703,840,104.790992
-57.847508,999,107.046404
-30.632342,999,109.578771
-44.060962,999,111.993633
-37.391248,999,114.280029
-56.980466,999,116.912147
86.19481,597,118.559072
-77.273131,999,120.845429
89.709912,536,122.160988
73.537448,888,124.152233
34.732258,939,126.564273
88.570409,547,127.809551
72.462978,432,129.000098
46.84161,886,131.160369
84.862279,552,132.399251
82.199154,481,133.563169
78.918102,847,135.376666
-64.11285,999,137.650296
88.101432,244,138.314952
93.638684,250,138.768837
91.422933,436,139.845537
87.445315,337,140.516388
93.616041,491,141.687991
90.050464,340,142.351582
80.305004,901,144.341181
84.077506,615,145.701546
92.902139,249,146.342274
91.360845,522,147.451205
91.718766,514,148.582359
90.428227,246,149.235943
44.249963,983,151.437764
93.139116,365,152.236548
90.746876,456,153.426672
91.092981,586,154.960182
93.990992,261,155.522499
91.069451,324,156.464812
92.988467,178,156.720015
90.615454,489,157.839434
91.949956,232,158.463354
77.520025,417,159.344655
84.246843,300,160.014472
63.805318,740,161.809035
60.769462,632,163.288864
92.170754,263,163.950552
85.757554,507,165.167718
70.328563,568,166.473067
93.840928,210,166.926394
86.78283,313,167.59983
91.71589,249,168.062366
95.264332,328,168.972683
80.013451,439,170.053497
89.173785,273,170.826988
-92.176223,999,173.123438
86.121143,328,173.918771
90.971744,166,174.43033
61.914522,795,176.530647
96.330487,160,176.825045
94.553905,145,177.308408
52.737591,709,179.144337
62.047786,594,180.715902
92.79493,220,181.254366
85.985007,320,182.060334
78.362058,459,183.318507
92.727426,220,183.849617
91.39205,530,184.960427
96.459413,256,185.597578
93.48287,298,186.247703
84.692249,374,187.118724
17.408412,938,189.235804
90.322182,382,190.097719
95.460945,276,190.754637
92.478861,296,191.432915
93.915681,235,191.938829
92.510813,337,192.760564
94.90323,238,193.53301
82.684519,335,194.334686
86.180308,487,195.639715
94.291339,181,196.16853
63.959916,496,197.484909
77.648501,533,198.82686
93.486263,174,199.3411
-79.049001,999,202.047617
94.387322,155,202.350955
63.199419,586,203.954936
94.559021,301,204.757709
88.069661,245,205.419735
83.210445,397,206.31554
95.684406,122,206.563015
91.404628,162,206.814036
93.41974,212,207.269922
94.102957,213,207.897251
87.494119,218,208.366324
92.493897,162,208.670026
76.27029,329,209.701211
90.584258,184,210.220555
79.468553,321,211.025443
95.384853,79,211.279194
94.666406,104,211.557765
82.294203,271,212.127243
93.297355,102,212.393751
95.50029,82,212.645819
95.149141,76,212.900294
87.328766,235,213.452386
