# {"t_start": 1592329259.064667, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,2.246467
-200.0,200,2.363437
-200.0,200,2.50206
-200.0,200,2.641781
-200.0,200,2.782955
-200.0,200,3.372962
-200.0,200,3.884063
-200.0,200,4.390767
-200.0,200,4.886685
-200.0,200,5.387116
-200.0,200,5.889092
-200.0,200,6.394633
-200.0,200,6.894755
-200.0,200,7.407528
-200.0,200,7.912472
-200.0,200,8.417063
-200.0,200,8.915701
-200.0,200,9.417175
-200.0,200,9.918079
-200.0,200,10.418847
-200.0,200,10.915256
-200.0,200,11.424472
-200.0,200,11.93461
-200.0,200,12.440329
-200.0,200,12.968123
-200.0,200,13.49028
-200.0,200,14.008562
-200.0,200,14.536122
-200.0,200,15.049688
-200.0,200,15.577278
-200.0,200,16.093966
-200.0,200,16.612209
-200.0,200,17.126223
-200.0,200,17.647631
-200.0,200,18.156246
-200.0,200,18.673632
-200.0,200,19.19753
-200.0,200,19.71464
-200.0,200,20.200922
-200.0,200,20.686563
-200.0,200,21.155761
-200.0,200,21.631869
-200.0,200,22.11405
-200.0,200,22.610544
-200.0,200,23.079558
-200.0,200,23.57909
-200.0,200,24.085491
-200.0,200,24.571445
-200.0,200,25.040087
-200.0,200,25.508725
-200.0,200,25.978754
-200.0,200,26.449604
-200.0,200,26.915859
-200.0,200,27.392168
-200.0,200,27.886173
-200.0,200,28.349555
-200.0,200,28.833759
-200.0,200,29.338935
-200.0,200,29.819362
-200.0,200,30.300902
-200.0,200,30.806584
-200.0,200,31.297649
-200.0,200,31.776101
-200.0,200,32.240872
-200.0,200,32.703831
-200.0,200,33.168469
-200.0,200,33.648951
-200.0,200,34.161394
-200.0,200,34.627337
-200.0,200,35.087046
-200.0,200,35.553626
-200.0,200,36.029088
-200.0,200,36.49139
-200.0,200,36.965441
-200.0,200,37.428808
-200.0,200,37.900517
-200.0,200,38.36323
-200.0,200,38.858155
-200.0,200,39.369374
-200.0,200,39.882819
-200.0,200,40.39273
-200.0,200,40.907731
-200.0,200,41.384207
-200.0,200,41.860858
-200.0,200,42.332572
-200.0,200,42.810767
-200.0,200,43.286657
-200.0,200,43.785897
-200.0,200,44.268544
-200.0,200,44.76785
-200.0,200,45.270571
-200.0,200,45.742285
-200.0,200,46.220689
-200.0,200,46.711811
-200.0,200,47.197331
-200.0,200,47.692639
-200.0,200,48.200577
-200.0,200,48.726506
-200.0,200,49.241503
-200.0,200,49.740201
-200.0,200,50.269352
-200.0,200,50.775545
-200.0,200,51.254221
-200.0,200,51.752944
-200.0,200,52.249336
-200.0,200,52.734645
-200.0,200,53.212389
-200.0,200,53.682609
-200.0,200,54.160206
-200.0,200,54.664335
-200.0,200,55.152246
-200.0,200,55.629578
-200.0,200,56.10467
-200.0,200,56.590271
-200.0,200,57.078401
-200.0,200,57.564283
-200.0,200,58.057606
-200.0,200,58.542699
-200.0,200,59.066416
-200.0,200,59.599149
-200.0,200,60.118146
-200.0,200,60.638597
-200.0,200,61.15252
-200.0,200,61.682314
-200.0,200,62.189181
-200.0,200,62.699888
-200.0,200,63.207062
-200.0,200,63.729883
-200.0,200,64.243135
-200.0,200,64.75808
-200.0,200,65.269814
-200.0,200,65.796153
-200.0,200,66.309541
-200.0,200,66.828637
-200.0,200,67.341686
-200.0,200,67.857815
-200.0,200,68.370142
-200.0,200,68.881681
-200.0,200,69.393018
-200.0,200,69.91462
-200.0,200,70.443712
-200.0,200,70.955578
-200.0,200,71.468466
-200.0,200,71.980525
-200.0,200,72.505336
-200.0,200,73.021317
-200.0,200,73.544334
-200.0,200,74.051289
-200.0,200,74.526464
-200.0,200,75.035601
-200.0,200,75.51954
-200.0,200,75.990222
-200.0,200,76.471705
-200.0,200,76.956254
-200.0,200,77.446314
-200.0,200,77.924916
-200.0,200,78.402152
-200.0,200,78.868168
-200.0,200,79.340065
-200.0,200,79.813602
-200.0,200,80.281632
-200.0,200,80.763913
-200.0,200,81.241189
-200.0,200,81.716313
-200.0,200,82.193753
-200.0,200,82.669517
-200.0,200,83.178245
-200.0,200,83.697845
-200.0,200,84.216752
-200.0,200,84.731488
-200.0,200,85.25209
-200.0,200,85.759363
-200.0,200,86.265533
-200.0,200,86.781879
-200.0,200,87.293386
-200.0,200,87.813798
-200.0,200,88.320015
-200.0,200,88.829786
-200.0,200,89.339239
-200.0,200,89.853216
-200.0,200,90.356559
-200.0,200,90.8708
-200.0,200,91.355636
-200.0,200,91.831211
-200.0,200,92.326782
-200.0,200,92.802962
-200.0,200,93.304816
-200.0,200,93.79872
-200.0,200,94.286783
-200.0,200,94.762987
-200.0,200,95.23771
-200.0,200,95.710664
-200.0,200,96.200053
-200.0,200,96.681309
-200.0,200,97.175443
-200.0,200,97.693271
-200.0,200,98.21321
-200.0,200,98.693169
-200.0,200,99.189146
-200.0,200,99.677729
-200.0,200,100.153796
-200.0,200,100.642984
-200.0,200,101.126859
-200.0,200,101.605924
-200.0,200,102.097888
-200.0,200,102.577132
-200.0,200,103.065784
-200.0,200,103.550946
-200.0,200,104.039396
-200.0,200,104.513949
-200.0,200,105.002966
-200.0,200,105.490658
-200.0,200,105.988724
-200.0,200,106.483703
-200.0,200,106.986913
-200.0,200,107.477258
-200.0,200,107.954235
-200.0,200,108.434614
-200.0,200,108.941184
-200.0,200,109.42656
-200.0,200,109.904771
-200.0,200,110.41189
-200.0,200,110.905358
-200.0,200,111.385711
-200.0,200,111.885304
-200.0,200,112.377686
-200.0,200,112.85302
-200.0,200,113.348713
-200.0,200,113.820987
-200.0,200,114.303648
-200.0,200,114.773746
-200.0,200,115.328804
-200.0,200,115.844279
-200.0,200,116.351081
-200.0,200,116.867793
-200.0,200,117.362802
-200.0,200,117.859306
-200.0,200,118.357937
-200.0,200,118.871772
-200.0,200,119.39222
-200.0,200,119.884511
-200.0,200,120.38655
-200.0,200,120.859321
-200.0,200,121.326042
-200.0,200,121.80336
-200.0,200,122.269337
-200.0,200,122.743142
-200.0,200,123.213398
-200.0,200,123.711269
-200.0,200,124.193467
-200.0,200,124.682148
-200.0,200,125.189329
-200.0,200,125.674213
-200.0,200,126.154963
-200.0,200,126.638778
-200.0,200,127.116969
-200.0,200,127.58833
-200.0,200,128.053627
-200.0,200,128.531394
-200.0,200,129.013109
-200.0,200,129.484894
-200.0,200,129.967515
-200.0,200,130.465276
-200.0,200,130.955343
-200.0,200,131.442948
-200.0,200,131.928911
-200.0,200,132.408831
-200.0,200,132.925014
-200.0,200,133.425257
-200.0,200,133.897922
-200.0,200,134.387197
-200.0,200,134.869762
-200.0,200,135.339025
-200.0,200,135.818789
-200.0,200,136.294636
-200.0,200,136.785313
-200.0,200,137.278732
-200.0,200,137.761276
-200.0,200,138.234529
-200.0,200,138.715604
-200.0,200,139.199315
-200.0,200,139.686167
-200.0,200,140.16066
-200.0,200,140.656619
-200.0,200,141.169448
-200.0,200,141.680874
-200.0,200,142.190122
-200.0,200,142.702518
-200.0,200,143.217522
-200.0,200,143.731501
-200.0,200,144.246034
-200.0,200,144.76029
-200.0,200,145.267443
-200.0,200,145.777077
-200.0,200,146.282852
-200.0,200,146.805767
-200.0,200,147.315788
-200.0,200,147.826344
-200.0,200,148.333545
-200.0,200,148.846498
-200.0,200,149.354672
-200.0,200,149.868331
-200.0,200,150.374902
-200.0,200,150.882648
-200.0,200,151.388772
-200.0,200,151.890836
-200.0,200,152.396933
-200.0,200,152.900123
-200.0,200,153.407171
-200.0,200,153.917864
-200.0,200,154.430973
-200.0,200,154.940754
-200.0,200,155.417874
-200.0,200,155.897409
-200.0,200,156.404337
-200.0,200,156.916691
-200.0,200,157.429177
-200.0,200,157.939316
-200.0,200,158.453975
-200.0,200,158.960439
-200.0,200,159.481606
-200.0,200,159.992433
-200.0,200,160.511048
-200.0,200,161.014065
-200.0,200,161.49033
-200.0,200,161.988076
-200.0,200,162.477967
-200.0,200,162.962652
-200.0,200,163.445839
-200.0,200,163.933976
-200.0,200,164.407844
-200.0,200,164.890546
-200.0,200,165.366803
-200.0,200,165.864017
-200.0,200,166.374421
-200.0,200,166.880096
-200.0,200,167.370986
-200.0,200,167.859847
-200.0,200,168.326103
-200.0,200,168.806094
-200.0,200,169.274807
-200.0,200,169.744598
-200.0,200,170.216169
-200.0,200,170.695811
-200.0,200,171.169535
-200.0,200,171.64662
-200.0,200,172.154781
-200.0,200,172.649493
-200.0,200,173.128359
-200.0,200,173.644364
-200.0,200,174.135656
-200.0,200,174.647459
-200.0,200,175.126593
-200.0,200,175.602673
-200.0,200,176.092192
-200.0,200,176.609784
-200.0,200,177.15674
-200.0,200,177.660152
-200.0,200,178.192521
-200.0,200,178.734488
-200.0,200,179.246462
-200.0,200,179.759439
-200.0,200,180.274871
-200.0,200,180.789487
-200.0,200,181.330358
-200.0,200,181.842788
-200.0,200,182.350678
-200.0,200,182.869183
-200.0,200,183.380534
-200.0,200,183.883539
-200.0,200,184.385765
-200.0,200,184.905256
-200.0,200,185.420398
-200.0,200,185.947819
-200.0,200,186.488673
-200.0,200,187.04497
-200.0,200,187.55507
-200.0,200,188.063735
-200.0,200,188.571029
-200.0,200,189.084241
-200.0,200,189.591097
-200.0,200,190.100895
-200.0,200,190.601917
-200.0,200,191.110971
-200.0,200,191.621206
-200.0,200,192.128218
-200.0,200,192.643541
-200.0,200,193.162947
-200.0,200,193.644552
-200.0,200,194.117976
-200.0,200,194.595264
-200.0,200,195.076033
-200.0,200,195.547638
-200.0,200,196.015141
-200.0,200,196.49797
-200.0,200,196.972674
-200.0,200,197.448819
-200.0,200,197.922631
-200.0,200,198.391525
-200.0,200,198.885651
-200.0,200,199.35587
-200.0,200,199.822169
-200.0,200,200.291739
-200.0,200,200.763847
-200.0,200,201.240313
-200.0,200,201.726329
-200.0,200,202.206558
-200.0,200,202.677777
-200.0,200,203.164451
-200.0,200,203.638865
-200.0,200,204.116189
-200.0,200,204.587378
-200.0,200,205.052124
-200.0,200,205.524958
-200.0,200,206.007746
-200.0,200,206.477835
-200.0,200,206.95059
-200.0,200,207.419697
-200.0,200,207.884727
-200.0,200,208.358535
-200.0,200,208.834359
-200.0,200,209.314692
-200.0,200,209.803128
-200.0,200,210.282447
-200.0,200,210.771265
-200.0,200,211.284301
-200.0,200,211.761222
-200.0,200,212.235633
-200.0,200,212.706292
-200.0,200,213.175066
-200.0,200,213.643343
-200.0,200,214.121723
-200.0,200,214.597739
-200.0,200,215.089722
-200.0,200,215.574196
-200.0,200,216.08336
-200.0,200,216.576919
-200.0,200,217.063058
-200.0,200,217.531713
-200.0,200,218.015725
-200.0,200,218.491791
-200.0,200,218.970474
-200.0,200,219.441836
-200.0,200,219.90952
-200.0,200,220.383451
-200.0,200,220.863404
-200.0,200,221.375237
-200.0,200,221.839139
-200.0,200,222.332465
-200.0,200,222.830723
-200.0,200,223.327232
-200.0,200,223.808523
-200.0,200,224.314008
-200.0,200,224.824767
-200.0,200,225.328256
-200.0,200,225.837051
-200.0,200,226.342162
-200.0,200,226.848836
-200.0,200,227.357282
-200.0,200,227.86791
-200.0,200,228.368716
-200.0,200,228.8798
-200.0,200,229.386701
-200.0,200,229.887726
-200.0,200,230.391275
-200.0,200,230.896253
-200.0,200,231.405902
-200.0,200,231.897815
-200.0,200,232.368073
-200.0,200,232.84556
-200.0,200,233.323111
-200.0,200,233.798852
-200.0,200,234.276987
-200.0,200,234.775396
-200.0,200,235.281903
-200.0,200,235.802125
-200.0,200,236.314018
-200.0,200,236.824767
-200.0,200,237.330397
-200.0,200,237.840616
-200.0,200,238.361224
-200.0,200,238.875918
-200.0,200,239.395839
-200.0,200,239.901564
-200.0,200,240.410543
-200.0,200,240.925468
-200.0,200,241.410656
-200.0,200,241.891271
-200.0,200,242.368712
-200.0,200,242.861818
-200.0,200,243.336198
-200.0,200,243.850485
-200.0,200,244.361171
-200.0,200,244.851755
-200.0,200,245.381686
-200.0,200,245.88142
-200.0,200,246.379605
-200.0,200,246.890015
-200.0,200,247.390877
-200.0,200,247.887709
-200.0,200,248.401421
-200.0,200,248.909651
-200.0,200,249.446785
-200.0,200,249.974952
-200.0,200,250.501078
-200.0,200,251.03395
-200.0,200,251.533578
-200.0,200,252.026522
-200.0,200,252.504928
-200.0,200,253.017317
-200.0,200,253.520404
-200.0,200,254.020396
-200.0,200,254.537714
-200.0,200,255.061535
-200.0,200,255.585788
-200.0,200,256.107069
-200.0,200,256.625527
-200.0,200,257.100455
-200.0,200,257.583942
-200.0,200,258.088741
-200.0,200,258.605423
-200.0,200,259.095606
-200.0,200,259.612512
-200.0,200,260.118186
-200.0,200,260.619628
-200.0,200,261.109762
-200.0,200,261.626149
-200.0,200,262.11646
-200.0,200,262.618911
-200.0,200,263.107597
-200.0,200,263.605099
-200.0,200,264.121724
-200.0,200,264.65829
-200.0,200,265.161129
-200.0,200,265.646002
-200.0,200,266.124001
-200.0,200,266.604103
-200.0,200,267.091662
-200.0,200,267.566185
-200.0,200,268.041078
-200.0,200,268.512665
-200.0,200,268.997695
-200.0,200,269.50568
-200.0,200,269.975031
-200.0,200,270.446244
-200.0,200,270.934328
-200.0,200,271.408964
-200.0,200,271.883767
-200.0,200,272.359194
-200.0,200,272.846283
-200.0,200,273.316872
-200.0,200,273.792389
-200.0,200,274.286395
-200.0,200,274.755438
-200.0,200,275.225734
-200.0,200,275.700457
-200.0,200,276.16815
-200.0,200,276.643805
-200.0,200,277.111701
-200.0,200,277.585123
-200.0,200,278.056837
-200.0,200,278.52686
-200.0,200,279.014788
-200.0,200,279.502752
-200.0,200,279.969728
-200.0,200,280.441508
-200.0,200,280.935295
-200.0,200,281.42524
-200.0,200,281.899878
-200.0,200,282.381596
-200.0,200,282.866636
-200.0,200,283.357913
-200.0,200,283.858057
-200.0,200,284.346386
-200.0,200,284.837861
-200.0,200,285.340661
-200.0,200,285.841635
-200.0,200,286.329055
-200.0,200,286.821419
-200.0,200,287.304724
-200.0,200,287.788352
-200.0,200,288.261385
-200.0,200,288.760044
-200.0,200,289.279373
-200.0,200,289.760481
-200.0,200,290.237516
-200.0,200,290.761238
-200.0,200,291.266138
-200.0,200,291.740612
-200.0,200,292.214042
-200.0,200,292.693372
-200.0,200,293.199151
-200.0,200,293.696645
-200.0,200,294.184804
-200.0,200,294.678302
-200.0,200,295.162087
-200.0,200,295.639194
-200.0,200,296.128908
-200.0,200,296.61899
-200.0,200,297.128536
-200.0,200,297.65171
-200.0,200,298.172189
-200.0,200,298.692691
-200.0,200,299.210337
-200.0,200,299.722533
-200.0,200,300.23437
-200.0,200,300.72793
-200.0,200,301.217759
-200.0,200,301.700939
-200.0,200,302.180051
-200.0,200,302.666955
-200.0,200,303.165606
-200.0,200,303.649433
-200.0,200,304.126984
-200.0,200,304.607702
-200.0,200,305.097575
-200.0,200,305.611854
-200.0,200,306.087555
-200.0,200,306.580607
-200.0,200,307.053878
-200.0,200,307.54976
-200.0,200,308.028521
-200.0,200,308.50606
-200.0,200,308.99153
-200.0,200,309.473298
-200.0,200,309.974144
-200.0,200,310.465712
-200.0,200,310.94499
-200.0,200,311.422584
-200.0,200,311.904337
-200.0,200,312.381325
-200.0,200,312.868301
-200.0,200,313.358432
-200.0,200,313.844552
-200.0,200,314.319744
-200.0,200,314.819256
-200.0,200,315.317687
-200.0,200,315.809058
