# {"t_start": 1592385012.8498821, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.054024
-200.0,200,1.145619
-200.0,200,1.237173
-200.0,200,1.328726
-200.0,200,1.422126
-200.0,200,1.513223
-200.0,200,1.603477
-200.0,200,1.694538
-200.0,200,1.788971
-200.0,200,1.880748
-200.0,200,2.202028
-200.0,200,2.29606
-200.0,200,2.392252
-200.0,200,2.484125
-200.0,200,2.574943
-200.0,200,2.667953
-200.0,200,2.762923
-200.0,200,2.854019
-200.0,200,2.943393
-200.0,200,3.035975
-200.0,200,3.187643
-200.0,200,3.282351
-200.0,200,3.374688
-200.0,200,3.466444
-200.0,200,3.557335
-200.0,200,3.647722
-200.0,200,3.741037
-200.0,200,3.834359
-200.0,200,3.92871
-200.0,200,4.021922
-200.0,200,4.175146
-200.0,200,4.267051
-200.0,200,4.360573
-200.0,200,4.453962
-200.0,200,4.546121
-200.0,200,4.63888
-200.0,200,4.732179
-200.0,200,4.827853
-200.0,200,4.919816
-200.0,200,5.01043
-200.0,200,5.165662
-200.0,200,5.257511
-200.0,200,5.350484
-200.0,200,5.444016
-200.0,200,5.537498
-200.0,200,5.62904
-200.0,200,5.72041
-200.0,200,5.814763
-200.0,200,5.907094
-200.0,200,5.997282
-200.0,200,6.08722
-200.0,200,6.239272
-200.0,200,6.330876
-200.0,200,6.42635
-200.0,200,6.519989
-200.0,200,6.611552
-200.0,200,6.702756
-200.0,200,6.798446
-200.0,200,6.890886
-200.0,200,6.98293
-200.0,200,7.073154
-200.0,200,7.225643
-200.0,200,7.317656
-200.0,200,7.411068
-200.0,200,7.504181
-200.0,200,7.597894
-200.0,200,7.689288
-200.0,200,7.783877
-200.0,200,7.879766
-200.0,200,7.972136
-200.0,200,8.064502
-200.0,200,8.217233
-200.0,200,8.309582
-200.0,200,8.402765
-200.0,200,8.494787
-200.0,200,8.589485
-200.0,200,8.682522
-200.0,200,8.777537
-200.0,200,8.872161
-200.0,200,8.966053
-200.0,200,9.058923
-200.0,200,9.210464
-200.0,200,9.301832
-200.0,200,9.394797
-200.0,200,9.488672
-200.0,200,9.581666
-200.0,200,9.675459
-200.0,200,9.769968
-200.0,200,9.864255
